year,month,country,region,student_ai_usage_pct,teacher_ai_usage_pct,schools_ai_adoption_pct,avg_daily_ai_usage_min,top_ai_tool,internet_penetration_pct,education_index,government_ai_policy,urban_ai_usage_pct,rural_ai_usage_pct,ai_in_curriculum,gender_gap_ai_usage_pct,policy_id,policy_name,policy_type,policy_domain,policy_status,policy_year,policy_restrictiveness_score,policy_maturity_score,ethical_alignment_score,implementation_strength,regulatory_risk_level,ai_investment_index,ai_research_output,policy_sentiment,amendment_count,compliance_score,alert_flag,policy_version,country_code,continent,policy_source,publishing_authority,publication_date,effective_date,review_date,volatility_score,enforcement_strength,expert_review_score,comment_count,discussion_status,last_updated,alert_date
2015,2,United Kingdom,Europe,8,1,3,31,Khanmigo,92,0.91,Draft,10,0,No,3,AIP-00012,AI Framework 12,Regulation,Ethics,Active,2018,2,75,78,Strong,Low,55,4052,Restrictive,7,80,No Alert,v3.8,UNI,Africa,Regulatory Authority,Data Protection Authority,2018-03-20,2018-05-17,2020-10-26,13,Medium,63,46,Open,2019-03-19,2018-05-27
2015,2,China,Asia,8,7,7,33,Khanmigo,70,0.75,,11,0,Yes,10,AIP-00013,AI Framework 13,Legislation,Governance,Draft,2023,10,66,61,Moderate,High,95,2554,Restrictive,6,58,No Alert,v3.1,CHI,North America,AI Ethics Board,Digital Affairs Agency,2023-02-14,2023-06-24,2025-01-17,42,High,50,25,Under Review,2023-06-16,2023-04-07
2015,2,India,Asia,7,6,5,40,Microsoft Copilot,50,0.64,Draft,8,0,No,5,AIP-00014,AI Framework 14,Strategy,Governance,Active,2024,4,67,70,Moderate,Low,33,4877,Restrictive,2,61,No Alert,v1.3,IND,Oceania,AI Ethics Board,Digital Affairs Agency,2024-08-10,2024-11-12,2026-08-08,69,Medium,80,6,Open,2026-03-09,2024-10-20
2015,2,Germany,Europe,1,6,7,58,Google Gemini,93,0.94,,1,0,Yes,9,AIP-00015,AI Framework 15,Legislation,Governance,Active,2026,3,65,55,Weak,Low,41,3350,Restrictive,7,63,No Alert,v2.2,GER,North America,Government Portal,Data Protection Authority,2026-03-07,2026-08-23,2027-10-22,44,Low,53,45,Under Review,2027-01-10,2026-05-07
2015,2,Brazil,South America,5,8,1,8,Khanmigo,75,0.7,Active,8,0,Yes,1,AIP-00016,AI Framework 16,Strategy,Governance,Active,2022,10,68,63,Weak,Medium,75,3204,Supportive,2,70,Amendment,v2.6,BRA,Europe,Regulatory Authority,Data Protection Authority,2022-04-12,2022-06-25,2024-03-25,50,Medium,94,36,Open,2022-12-02,2022-05-09
2015,2,Pakistan,Asia,9,8,2,59,ChatGPT,45,0.55,Active,14,0,Yes,8,AIP-00017,AI Framework 17,Regulation,Education,Active,2020,7,58,52,Moderate,Medium,76,2934,Supportive,1,66,Amendment,v3.3,PAK,Africa,Government Portal,Data Protection Authority,2020-08-02,2020-08-29,2023-01-10,15,Medium,71,41,Closed,2021-05-23,2020-10-18
2015,2,Nigeria,Africa,6,1,5,13,Khanmigo,42,0.52,Draft,10,0,No,3,AIP-00018,AI Framework 18,Legislation,Governance,Active,2025,5,44,50,Moderate,Low,49,1250,Restrictive,1,48,New Policy,v1.2,NIG,Africa,Legal Database,Data Protection Authority,2025-07-26,2025-12-27,2027-10-25,64,Low,84,37,Open,2026-02-28,2025-08-02
2015,2,Canada,North America,5,2,6,56,Google Gemini,94,0.92,,8,0,Yes,9,AIP-00019,AI Framework 19,Strategy,Education,Active,2020,4,70,75,Strong,Low,94,3756,Supportive,5,55,New Policy,v1.9,CAN,Oceania,Regulatory Authority,Ministry of Technology,2020-02-10,2020-06-15,2022-02-28,25,High,90,6,Closed,2020-08-04,2020-05-09
2015,2,Australia,Oceania,1,5,5,7,ChatGPT,96,0.93,Active,5,0,No,7,AIP-00020,AI Framework 20,Legislation,Ethics,Draft,2024,5,56,47,Moderate,Medium,88,1276,Supportive,3,46,New Policy,v3.9,AUS,Oceania,Regulatory Authority,Data Protection Authority,2024-04-10,2024-08-01,2027-04-09,70,Medium,96,37,Open,2025-04-22,2024-04-15
2015,3,United States,North America,1,6,6,5,ChatGPT,90,0.9,Active,3,0,Yes,6,AIP-00021,AI Framework 21,Strategy,Transparency,Draft,2026,8,58,67,Strong,High,69,3095,Supportive,6,62,No Alert,v3.1,UNI,Asia,AI Ethics Board,AI Commission,2026-03-14,2026-05-11,2028-06-04,42,High,90,1,Closed,2026-10-28,2026-06-22
2015,3,United Kingdom,Europe,2,2,0,5,ChatGPT,92,0.91,Active,3,0,Yes,2,AIP-00022,AI Framework 22,Guidance,Transparency,Active,2018,2,53,60,Strong,Medium,80,3990,Supportive,6,46,No Alert,v2.6,UNI,South America,Regulatory Authority,Data Protection Authority,2018-04-17,2018-05-02,2020-04-09,99,Low,88,32,Under Review,2019-04-14,2018-06-10
2015,3,China,Asia,7,4,2,8,Microsoft Copilot,70,0.75,,7,1,Yes,6,AIP-00023,AI Framework 23,Legislation,Governance,Active,2026,2,46,45,Weak,Medium,63,2282,Neutral,4,32,No Alert,v1.8,CHI,Europe,AI Ethics Board,AI Commission,2026-06-05,2026-10-01,2027-08-26,88,Medium,54,17,Open,2027-04-02,2026-08-05
2015,3,India,Asia,6,8,0,5,Microsoft Copilot,50,0.64,,7,0,Yes,8,AIP-00024,AI Framework 24,Guidance,Ethics,Draft,2019,4,73,67,Weak,Low,58,4947,Supportive,1,74,No Alert,v3.9,IND,Europe,AI Ethics Board,AI Commission,2019-06-22,2019-10-31,2020-09-10,61,High,52,39,Open,2020-03-06,2019-08-23
2015,3,Germany,Europe,2,7,3,40,Microsoft Copilot,93,0.94,,2,0,No,6,AIP-00025,AI Framework 25,Strategy,Data Privacy,Draft,2022,5,68,66,Strong,Medium,64,860,Restrictive,0,62,No Alert,v1.2,GER,Europe,AI Ethics Board,Digital Affairs Agency,2022-04-21,2022-07-01,2024-07-27,4,Low,94,38,Open,2023-10-22,2022-04-28
2015,3,Brazil,South America,8,6,1,48,ChatGPT,75,0.7,Active,12,0,No,2,AIP-00026,AI Framework 1,Regulation,Transparency,Active,2020,9,63,65,Moderate,Medium,88,1091,Supportive,7,74,No Alert,v2.7,BRA,Africa,Legal Database,Data Protection Authority,2020-06-23,2020-10-06,2023-01-15,67,Low,83,10,Under Review,2022-04-18,2020-10-04
2015,3,Pakistan,Asia,2,1,5,30,Google Gemini,45,0.55,Active,5,0,Yes,2,AIP-00027,AI Framework 2,Guidance,Education,Active,2019,3,54,57,Moderate,High,21,1551,Neutral,2,66,Amendment,v1.3,PAK,Africa,Legal Database,Data Protection Authority,2019-08-30,2019-11-03,2020-09-17,59,High,92,43,Closed,2020-01-02,2019-09-17
2015,3,Nigeria,Africa,6,8,1,47,Microsoft Copilot,42,0.52,Active,11,0,No,1,AIP-00028,AI Framework 3,Regulation,Governance,Active,2024,8,69,66,Weak,Medium,28,4851,Neutral,0,58,No Alert,v2.6,NIG,Europe,Legal Database,Ministry of Technology,2024-07-26,2024-12-23,2026-03-12,90,Medium,88,10,Open,2025-03-30,2024-08-08
2015,3,Canada,North America,3,5,5,58,Khanmigo,94,0.92,Draft,5,0,No,2,AIP-00029,AI Framework 4,Legislation,Governance,Active,2022,10,59,51,Moderate,Low,58,2693,Neutral,3,68,No Alert,v1.5,CAN,North America,Regulatory Authority,Digital Affairs Agency,2022-06-04,2022-06-26,2024-03-22,21,Low,62,18,Under Review,2024-05-01,2022-09-19
2015,3,Australia,Oceania,2,0,5,44,Google Gemini,96,0.93,Draft,6,0,No,9,AIP-00030,AI Framework 5,Regulation,Data Privacy,Draft,2022,5,55,57,Moderate,Low,67,1378,Restrictive,6,66,No Alert,v1.7,AUS,Africa,Legal Database,Digital Affairs Agency,2022-04-12,2022-08-21,2024-12-02,94,High,60,31,Open,2023-02-03,2022-06-19
2015,4,United States,North America,7,0,6,44,ChatGPT,90,0.9,Active,12,0,No,8,AIP-00031,AI Framework 6,Guidance,Data Privacy,Draft,2022,10,56,60,Weak,High,34,4829,Restrictive,0,60,No Alert,v3.9,UNI,Asia,Government Portal,Ministry of Technology,2022-09-20,2023-03-01,2024-01-11,70,Low,80,27,Closed,2024-01-22,2022-11-15
2015,4,United Kingdom,Europe,1,4,5,48,Khanmigo,92,0.91,,6,0,Yes,5,AIP-00032,AI Framework 7,Strategy,Transparency,Draft,2024,9,48,43,Moderate,Low,69,2093,Neutral,5,51,No Alert,v2.1,UNI,South America,AI Ethics Board,Ministry of Technology,2024-08-31,2024-10-16,2027-07-17,58,Medium,85,49,Open,2026-01-16,2024-09-27
2015,4,China,Asia,4,0,6,44,Google Gemini,70,0.75,Active,8,0,No,3,AIP-00033,AI Framework 8,Guidance,Education,Active,2026,8,43,46,Strong,Medium,21,1369,Neutral,3,42,No Alert,v1.2,CHI,North America,AI Ethics Board,AI Commission,2026-03-26,2026-04-10,2028-06-14,84,High,80,26,Under Review,2028-02-11,2026-05-01
2015,4,India,Asia,0,4,1,42,Google Gemini,50,0.64,,2,0,No,10,AIP-00034,AI Framework 9,Regulation,Ethics,Draft,2022,4,59,60,Moderate,Medium,39,4545,Neutral,7,59,Amendment,v1.5,IND,Oceania,AI Ethics Board,Data Protection Authority,2022-10-10,2023-02-03,2024-04-16,92,Low,97,4,Open,2023-01-19,2022-11-23
2015,4,Germany,Europe,7,7,5,59,Microsoft Copilot,93,0.94,,9,0,Yes,9,AIP-00035,AI Framework 10,Regulation,Governance,Active,2019,4,71,71,Strong,Low,57,815,Restrictive,3,58,New Policy,v2.3,GER,Africa,Government Portal,AI Commission,2019-11-05,2020-01-12,2022-03-04,79,High,61,49,Closed,2020-07-20,2019-12-03
2015,4,Brazil,South America,2,8,3,46,Google Gemini,75,0.7,Active,7,0,Yes,6,AIP-00036,AI Framework 11,Regulation,Ethics,Repealed,2020,9,42,32,Moderate,Medium,24,4810,Restrictive,4,31,Amendment,v1.5,BRA,Europe,Regulatory Authority,Data Protection Authority,2020-07-26,2020-10-21,2021-09-22,55,Medium,57,17,Under Review,2020-11-11,2020-10-29
2015,4,Pakistan,Asia,3,4,7,40,ChatGPT,45,0.55,Active,7,0,No,1,AIP-00037,AI Framework 12,Strategy,Ethics,Active,2022,5,70,66,Moderate,Medium,71,275,Supportive,3,76,No Alert,v1.7,PAK,Oceania,Legal Database,AI Commission,2022-01-13,2022-06-05,2023-04-15,69,Low,69,35,Closed,2023-03-19,2022-02-24
2015,4,Nigeria,Africa,0,0,6,49,ChatGPT,42,0.52,,4,0,No,5,AIP-00038,AI Framework 13,Legislation,Governance,Active,2018,1,69,66,Moderate,High,63,2856,Restrictive,5,71,New Policy,v1.6,NIG,Africa,Regulatory Authority,Ministry of Technology,2018-04-13,2018-09-25,2019-09-18,42,High,69,14,Under Review,2019-08-10,2018-07-14
2015,4,Canada,North America,8,5,3,22,Microsoft Copilot,94,0.92,,10,0,No,3,AIP-00039,AI Framework 14,Strategy,Education,Draft,2020,8,49,56,Weak,Low,65,2932,Supportive,0,39,No Alert,v3.7,CAN,Europe,AI Ethics Board,Ministry of Technology,2020-10-03,2021-02-04,2022-09-23,99,Medium,91,42,Closed,2022-02-06,2020-10-30
2015,4,Australia,Oceania,8,7,5,45,Google Gemini,96,0.93,,9,0,Yes,7,AIP-00040,AI Framework 15,Regulation,Ethics,Active,2019,4,62,69,Moderate,Low,61,4752,Restrictive,0,57,Amendment,v2.1,AUS,South America,AI Ethics Board,Data Protection Authority,2019-09-28,2019-12-24,2021-02-25,25,Medium,53,39,Closed,2020-02-18,2020-01-17
2015,5,United States,North America,9,2,3,12,Microsoft Copilot,90,0.9,Active,10,0,Yes,1,AIP-00041,AI Framework 16,Guidance,Ethics,Repealed,2026,10,45,53,Strong,Low,76,4652,Supportive,4,50,No Alert,v1.0,UNI,Africa,AI Ethics Board,Data Protection Authority,2026-05-27,2026-09-21,2027-09-30,33,Low,66,5,Closed,2027-11-14,2026-06-25
2015,5,United Kingdom,Europe,2,4,5,37,Microsoft Copilot,92,0.91,Active,4,0,No,1,AIP-00042,AI Framework 17,Regulation,Education,Active,2021,9,67,66,Weak,Low,72,4219,Restrictive,3,57,No Alert,v1.8,UNI,Europe,Regulatory Authority,Digital Affairs Agency,2021-06-09,2021-08-27,2023-08-19,53,High,81,5,Under Review,2022-10-02,2021-07-07
2015,5,China,Asia,6,5,0,58,Microsoft Copilot,70,0.75,,9,0,No,2,AIP-00043,AI Framework 18,Guidance,Transparency,Active,2025,2,65,61,Strong,Medium,73,4583,Restrictive,1,56,No Alert,v1.4,CHI,Europe,Legal Database,Data Protection Authority,2025-02-13,2025-07-27,2026-05-28,25,Medium,81,15,Closed,2025-08-27,2025-03-24
2015,5,India,Asia,3,7,3,53,Microsoft Copilot,50,0.64,Active,5,0,No,10,AIP-00044,AI Framework 19,Legislation,Education,Repealed,2022,10,52,52,Weak,Low,37,4338,Neutral,6,64,Amendment,v2.6,IND,Asia,Regulatory Authority,Digital Affairs Agency,2022-07-23,2022-10-03,2024-02-24,99,High,88,41,Open,2023-02-17,2022-09-21
2015,5,Germany,Europe,1,2,4,60,Khanmigo,93,0.94,Draft,6,0,No,7,AIP-00045,AI Framework 20,Strategy,Ethics,Active,2022,10,42,48,Moderate,Low,75,2589,Restrictive,5,41,No Alert,v1.0,GER,Asia,Government Portal,Ministry of Technology,2022-10-24,2023-03-27,2024-01-11,99,High,58,50,Open,2022-12-19,2023-01-07
2015,5,Brazil,South America,6,2,0,51,Microsoft Copilot,75,0.7,Active,11,0,Yes,7,AIP-00046,AI Framework 21,Guidance,Education,Active,2026,8,74,77,Moderate,High,34,4347,Neutral,0,73,Amendment,v3.7,BRA,North America,Regulatory Authority,Digital Affairs Agency,2026-06-17,2026-08-13,2028-12-20,4,Medium,72,6,Under Review,2028-05-11,2026-08-14
2015,5,Pakistan,Asia,7,8,6,32,ChatGPT,45,0.55,Active,10,0,No,3,AIP-00047,AI Framework 22,Strategy,Ethics,Active,2024,3,56,58,Strong,Low,21,3867,Neutral,1,43,No Alert,v2.1,PAK,Asia,AI Ethics Board,Digital Affairs Agency,2024-08-13,2024-12-30,2026-11-08,62,High,66,5,Open,2025-12-19,2024-10-30
2015,5,Nigeria,Africa,8,3,7,11,Microsoft Copilot,42,0.52,,10,0,No,3,AIP-00048,AI Framework 23,Legislation,Governance,Draft,2020,7,72,71,Weak,Low,99,1961,Neutral,6,59,No Alert,v3.7,NIG,South America,Regulatory Authority,Digital Affairs Agency,2020-02-16,2020-07-31,2021-05-20,82,High,85,31,Closed,2020-06-26,2020-03-18
2015,5,Canada,North America,4,1,5,49,Microsoft Copilot,94,0.92,Active,7,0,No,8,AIP-00049,AI Framework 24,Guidance,Transparency,Draft,2020,9,64,68,Weak,High,34,4407,Supportive,3,69,No Alert,v3.0,CAN,North America,Regulatory Authority,AI Commission,2020-09-21,2021-03-17,2023-07-27,16,Low,70,0,Open,2020-12-21,2021-01-11
2015,5,Australia,Oceania,6,8,2,42,Google Gemini,96,0.93,,8,0,Yes,1,AIP-00050,AI Framework 25,Strategy,Governance,Draft,2023,9,68,76,Moderate,Medium,29,201,Supportive,2,62,No Alert,v2.0,AUS,Europe,Government Portal,Data Protection Authority,2023-04-10,2023-07-04,2025-10-17,34,Medium,71,33,Open,2023-09-28,2023-07-03
2015,6,United States,North America,9,0,1,10,Khanmigo,90,0.9,Draft,9,4,No,7,AIP-00051,AI Framework 1,Guidance,Transparency,Active,2018,5,67,71,Moderate,Low,44,558,Restrictive,4,60,No Alert,v2.3,UNI,North America,Regulatory Authority,Ministry of Technology,2018-01-21,2018-05-29,2020-10-15,11,High,57,13,Open,2018-10-05,2018-04-07
2015,6,United Kingdom,Europe,5,8,2,34,Khanmigo,92,0.91,Draft,9,0,No,2,AIP-00052,AI Framework 2,Regulation,Governance,Active,2019,8,47,45,Moderate,High,100,865,Restrictive,2,37,No Alert,v1.2,UNI,Asia,Government Portal,Ministry of Technology,2019-03-30,2019-04-19,2021-07-19,95,Medium,74,22,Closed,2020-08-26,2019-04-18
2015,6,China,Asia,2,4,0,34,Google Gemini,70,0.75,,5,0,Yes,6,AIP-00053,AI Framework 3,Strategy,Governance,Active,2018,4,53,60,Strong,Medium,90,2697,Restrictive,0,61,No Alert,v3.9,CHI,Asia,Legal Database,Data Protection Authority,2018-07-21,2018-08-11,2019-09-24,98,Medium,58,0,Open,2018-11-09,2018-10-22
2015,6,India,Asia,3,5,6,11,Microsoft Copilot,50,0.64,,3,0,Yes,1,AIP-00054,AI Framework 4,Strategy,Ethics,Active,2024,3,56,65,Weak,Low,78,418,Restrictive,5,70,No Alert,v2.4,IND,North America,Regulatory Authority,AI Commission,2024-07-22,2024-10-27,2026-10-02,54,High,60,0,Closed,2025-09-05,2024-09-16
2015,6,Germany,Europe,2,3,1,27,ChatGPT,93,0.94,Draft,3,0,No,4,AIP-00055,AI Framework 5,Regulation,Ethics,Active,2021,7,57,63,Strong,Low,35,1163,Neutral,5,50,No Alert,v3.4,GER,Asia,Regulatory Authority,Ministry of Technology,2021-05-05,2021-06-30,2022-08-10,82,Medium,73,14,Closed,2022-02-26,2021-07-29
2015,6,Brazil,South America,5,4,1,11,Microsoft Copilot,75,0.7,Active,8,0,No,4,AIP-00056,AI Framework 6,Strategy,Transparency,Repealed,2018,5,41,49,Weak,High,70,1249,Restrictive,0,33,No Alert,v2.0,BRA,Africa,AI Ethics Board,AI Commission,2018-05-23,2018-11-07,2021-05-05,33,Medium,94,50,Closed,2020-03-22,2018-05-28
2015,6,Pakistan,Asia,1,7,6,29,Khanmigo,45,0.55,,3,0,No,7,AIP-00057,AI Framework 7,Strategy,Governance,Active,2024,3,59,54,Strong,Low,87,1250,Restrictive,1,68,New Policy,v1.4,PAK,Europe,AI Ethics Board,Data Protection Authority,2024-06-25,2024-09-21,2026-10-01,48,Medium,54,0,Under Review,2026-04-04,2024-10-15
2015,6,Nigeria,Africa,1,6,2,50,Khanmigo,42,0.52,Active,1,0,Yes,3,AIP-00058,AI Framework 8,Strategy,Ethics,Active,2023,7,45,43,Strong,High,47,323,Supportive,4,45,Amendment,v1.0,NIG,Oceania,Government Portal,AI Commission,2023-09-29,2023-11-28,2026-07-31,59,High,75,45,Closed,2024-08-24,2023-11-09
2015,6,Canada,North America,7,5,2,48,Google Gemini,94,0.92,,11,0,No,2,AIP-00059,AI Framework 9,Guidance,Ethics,Active,2024,4,66,61,Moderate,Low,40,1160,Neutral,6,75,No Alert,v3.6,CAN,Europe,AI Ethics Board,AI Commission,2024-11-29,2025-04-17,2026-03-19,67,High,73,26,Closed,2025-05-11,2025-01-28
2015,6,Australia,Oceania,2,6,1,59,Microsoft Copilot,96,0.93,,6,0,No,1,AIP-00060,AI Framework 10,Legislation,Data Privacy,Active,2019,6,64,61,Strong,Low,90,1420,Supportive,7,72,No Alert,v1.9,AUS,South America,Regulatory Authority,Ministry of Technology,2019-04-08,2019-09-28,2022-02-27,99,High,82,15,Open,2019-05-16,2019-07-24
2015,7,United States,North America,2,0,2,37,Microsoft Copilot,90,0.9,Active,4,0,Yes,5,AIP-00061,AI Framework 11,Legislation,Data Privacy,Repealed,2025,4,73,78,Strong,High,30,3805,Restrictive,4,82,No Alert,v1.3,UNI,South America,Regulatory Authority,AI Commission,2025-07-15,2025-11-27,2028-03-05,82,High,63,41,Closed,2027-02-28,2025-11-09
2015,7,United Kingdom,Europe,7,2,5,22,Khanmigo,92,0.91,,9,0,Yes,5,AIP-00062,AI Framework 12,Legislation,Data Privacy,Active,2019,9,66,70,Weak,High,93,2965,Supportive,0,55,Amendment,v1.8,UNI,Oceania,Legal Database,Ministry of Technology,2019-04-25,2019-06-26,2021-01-05,54,High,81,32,Under Review,2020-03-26,2019-05-13
2015,7,China,Asia,7,3,5,15,Microsoft Copilot,70,0.75,Active,10,0,Yes,4,AIP-00063,AI Framework 13,Legislation,Education,Draft,2023,9,53,43,Weak,Low,58,1607,Restrictive,2,54,No Alert,v3.9,CHI,South America,AI Ethics Board,Ministry of Technology,2023-02-03,2023-05-01,2025-10-05,71,Medium,59,6,Under Review,2023-04-13,2023-03-24
2015,7,India,Asia,7,8,0,15,Khanmigo,50,0.64,Active,8,0,No,4,AIP-00064,AI Framework 14,Legislation,Education,Active,2023,5,74,79,Weak,Low,78,748,Restrictive,2,72,No Alert,v1.9,IND,Oceania,Legal Database,Data Protection Authority,2023-11-19,2023-12-28,2026-04-06,6,Low,65,48,Open,2025-08-29,2023-12-10
2015,7,Germany,Europe,6,8,1,52,Microsoft Copilot,93,0.94,Draft,10,0,Yes,9,AIP-00065,AI Framework 15,Legislation,Data Privacy,Active,2019,8,54,48,Moderate,Medium,50,2591,Neutral,7,65,No Alert,v1.7,GER,North America,Regulatory Authority,Digital Affairs Agency,2019-01-01,2019-06-01,2021-10-21,71,Medium,73,41,Closed,2019-03-19,2019-02-07
2015,7,Brazil,South America,1,7,4,22,Google Gemini,75,0.7,Draft,1,0,Yes,10,AIP-00066,AI Framework 16,Legislation,Data Privacy,Active,2021,2,51,44,Moderate,Medium,77,1612,Neutral,0,56,No Alert,v2.8,BRA,Europe,Regulatory Authority,Ministry of Technology,2021-06-13,2021-08-02,2023-05-30,10,Medium,59,7,Under Review,2022-05-27,2021-10-10
2015,7,Pakistan,Asia,4,2,4,15,Google Gemini,45,0.55,Active,7,0,No,10,AIP-00067,AI Framework 17,Legislation,Governance,Draft,2018,10,72,73,Moderate,Medium,94,3500,Restrictive,3,80,No Alert,v2.3,PAK,Europe,AI Ethics Board,Data Protection Authority,2018-02-16,2018-05-18,2020-03-03,14,High,58,34,Under Review,2019-08-31,2018-05-19
2015,7,Nigeria,Africa,4,0,0,48,Google Gemini,42,0.52,,6,0,No,4,AIP-00068,AI Framework 18,Regulation,Ethics,Active,2022,3,53,48,Moderate,Low,59,1159,Restrictive,4,65,No Alert,v2.5,NIG,Oceania,AI Ethics Board,Data Protection Authority,2022-06-12,2022-06-29,2023-10-15,43,High,96,42,Closed,2023-02-26,2022-07-24
2015,7,Canada,North America,7,3,5,5,ChatGPT,94,0.92,,11,0,Yes,2,AIP-00069,AI Framework 19,Regulation,Transparency,Repealed,2024,9,42,52,Moderate,High,37,4984,Neutral,2,48,Amendment,v1.6,CAN,Europe,Regulatory Authority,Ministry of Technology,2024-07-27,2024-09-08,2026-10-11,5,Low,68,29,Under Review,2024-08-29,2024-08-22
2015,7,Australia,Oceania,2,3,4,60,Khanmigo,96,0.93,,3,0,Yes,6,AIP-00070,AI Framework 20,Strategy,Governance,Repealed,2020,9,56,49,Weak,Low,26,520,Restrictive,5,61,No Alert,v3.2,AUS,Africa,Government Portal,Ministry of Technology,2020-05-11,2020-08-28,2021-08-10,88,High,99,12,Closed,2020-06-19,2020-05-20
